# Single particle input file for Full Configuration Interaction method
# in tackling many-body problems.
# The file format is as follows:
#
# index   n     l    2j    2mj    energy
    1     1     0    1     -1       1
    2     1     0    1      1       2
    3     0     2    3     -3       3
    4     0     2    3     -1       4
    5     0     2    3      1       5
    6     0     2    3      3       4
    7     0     2    5     -5       3
    8     0     2    5     -3       4
    9     0     2    5     -1       5
   10     0     2    5      1       4
   11     0     2    5      3       5
   12     0     2    5      5       4
