# Single particle input file for Full Configuration Interaction method
# in tackling many-body problems.
# The file format is as follows:
# n: number of nodes (origin excluded)
# l: orbital angular momentum; j: total angular momentum;
#
# index   n     l    2j    2mj    energy
# 0s1/2
    0     0     0    1      1       0
    1     0     0    1     -1       0

# 0p3/2
    2     0     1    3     -3       1
    3     0     1    3     -1       1
    4     0     1    3      1       1
    5     0     1    3      3       1
# 0p1/2
    6     0     1    1     -1       1.5
    7     0     1    1      1       1.5

# 0d5/2
    8     0     2    5     -5       2.5
    9     0     2    5     -3       2.5
   10     0     2    5     -1       2.5
   11     0     2    5      1       2.5
   12     0     2    5      3       2.5
   13     0     2    5      5       2.5
# 1s1/2
   14     1     0    1      1       3
   15     1     0    1     -1       3
# 0d3/2
   16     0     2    3     -3       3.5
   17     0     2    3     -1       3.5
   18     0     2    3      1       3.5
   19     0     2    3      3       3.5

# 0f7/2
   20     0     3    7     -7       4.5
   21     0     3    7     -5       4.5
   22     0     3    7     -3       4.5
   23     0     3    7     -1       4.5
   24     0     3    7      1       4.5
   25     0     3    7      3       4.5
   26     0     3    7      5       4.5
   27     0     3    7      7       4.5

# 1p3/2
   28     1     1    3     -3       5.5
   29     1     1    3     -1       5.5
   30     1     1    3      1       5.5
   31     1     1    3      3       5.5
# 0f5/2
   32     0     3    5     -5       6
   33     0     3    5     -3       6
   34     0     3    5     -1       6
   35     0     3    5      1       6
   36     0     3    5      3       6
   37     0     3    5      5       6
# 1p1/2
   38     1     1    1     -1       6.5
   39     1     1    1      1       6.5
